Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Ordered_Date_Year,Ordered_Date_Month,Ordered_Date_Day,Time_OrderPicked_hours,Time_OrderPicked_mins,Time_Orderd_hours,Time_Orderd_mins,Time_taken (min),Distance_covered
35.0,4.6,Windy,Medium,1,scooter,1.0,No,Metropolitian,2022,3,20,17,30,17,15,26,11.00773476374462
38.0,4.7,Sandstorms,High,2,motorcycle,1.0,No,Metropolitian,2022,3,5,13,40,13,30,29,6.037116126732456
36.0,4.8,Stormy,Low,2,electric_scooter,0.0,No,Urban,2022,3,8,22,40,22,35,17,19.976027554946448
27.0,5.0,Stormy,Medium,2,motorcycle,0.0,No,Metropolitian,2022,3,19,16,40,16,35,24,6.051108888205775
38.0,4.7,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,2,18,20,55,20,50,46,13.622111101994378
29.0,4.4,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,2022,3,30,8,40,8,35,16,1.5298767913547426
36.0,4.7,Windy,Low,1,motorcycle,1.0,No,Metropolitian,2022,3,2,22,25,22,15,19,20.182685858169084
28.0,4.6,Sandstorms,Low,1,motorcycle,0.0,No,Metropolitian,2022,3,24,10,35,10,25,18,3.0186622920269803
23.0,4.2,Fog,Medium,2,scooter,1.0,No,Metropolitian,2022,2,16,18,55,18,45,36,11.904934021697231
38.0,4.9,Windy,Jam,2,scooter,1.0,No,Metropolitian,2022,2,17,19,25,19,20,29,8.988056602876522
,,Stormy,Jam,1,scooter,1.0,No,Metropolitian,2022,3,9,20,40,20,25,31,7.761726486394523
28.0,4.1,Fog,Jam,2,scooter,2.0,No,Metropolitian,2022,2,16,20,45,20,40,40,19.09071006252441
38.0,4.8,Sunny,Medium,2,scooter,0.0,No,Urban,2022,2,18,17,40,17,25,28,10.808376827928514
36.0,4.2,Cloudy,Medium,0,motorcycle,1.0,No,Metropolitian,2022,4,1,18,45,18,30,33,9.19301447226696
34.0,4.7,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,30,18,5,19,35,28,9.327055824816654
20.0,5.0,Windy,Low,2,electric_scooter,0.0,No,Metropolitian,2022,3,15,22,20,22,15,16,9.314908769971195
33.0,4.7,Sunny,Jam,1,scooter,0.0,No,Metropolitian,2022,3,23,19,30,19,25,26,16.384351156454095
34.0,5.0,Cloudy,Low,2,motorcycle,1.0,No,Metropolitian,2022,3,30,8,15,8,10,18,1.509439424217718
28.0,4.5,Sunny,Medium,1,scooter,0.0,No,Metropolitian,2022,2,17,18,50,18,45,15,9.363585454278844
20.0,4.9,Fog,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,11,10,50,10,35,20,1.5093571915760948
36.0,4.7,Sandstorms,Low,2,electric_scooter,0.0,No,Metropolitian,2022,4,4,23,50,23,40,29,13.773737657079298
30.0,4.8,Windy,Medium,1,scooter,1.0,No,Metropolitian,2022,3,31,18,25,18,20,25,10.56512884564776
22.0,4.1,Sandstorms,Medium,0,motorcycle,0.0,No,Urban,2022,3,10,17,40,17,35,38,16.824331819052116
32.0,4.9,Fog,Medium,2,scooter,1.0,No,Urban,2022,4,5,18,10,19,35,17,4.65734737800111
,,Stormy,Jam,2,scooter,1.0,No,Metropolitian,2022,3,23,21,10,19,35,35,11.916582838288104
25.0,4.8,Cloudy,Low,2,motorcycle,1.0,No,Metropolitian,2022,3,11,10,10,19,35,19,1.5299884479314707
31.0,4.8,Cloudy,High,0,motorcycle,1.0,No,Metropolitian,2022,4,5,11,25,11,20,30,3.116247995629968
20.0,4.9,Stormy,Jam,1,scooter,1.0,No,Metropolitian,2022,3,25,21,15,19,35,25,19.76237198367898
